,dtype
parking_id,str
parking_id_hash,category
parking_type,str
kind,str
year,int32
month,int32
date_only,datetime64[ms]
rounded_hour,datetime64[ns]
hour,int32
weekday_int,int32
weekday_name,str
day_type,str
number_of_spaces_override,float64
number_of_occupied_spaces,float64
occupancy_rate,float64
flag_occ_inconsistent,int64
flag_frozen_sensor,int64
temp_c,float64
precip_mm,float64
wind_speed_ms,float64
wind_gusts_ms,float64
humidity_pct,float64
pressure_hpa,float64
sun_duration_min,float64
shortwave_wm2,float64
sun_intensity_wm2,float64
qc_temp,bool
qc_precip,bool
qc_wind_speed,bool
qc_wind_gusts,bool
qc_humidity,bool
qc_pressure,bool
humidity_suspect,int64
sun_duration_inconsistent,int64
precip_imputed,int64
national_holiday_name,str
other_holiday_name,str
vacation_name,str
vacation_type,str
is_national_holiday,int8
is_other_holiday,int8
is_any_holiday,int8
is_school_vacation,int8
calendar_day_class,str
longitude,float64
latitude,float64
total_capacity,float64
parking_location_category,category
event_scale_max,int8
n_concurrent_events,int8
football_kickoff_hour,float64
data_confidence,str
event_names_combined,str
is_football_day,int8
is_sport_day,int8
is_festival_day,int8
is_procession_day,int8
is_kermis_day,int8
is_markt_day,int8
is_carnival_day,int8
is_other_day,int8
is_event_day,int8
low_data_coverage,int8
system_blackout,int8
partial_year,int8
