,dataset_label,parking_location_category,variable,n,mean,median,std,iqr,skew,q95,iqr_outlier_pct
0,longterm,centrum,number_of_occupied_spaces,25681,21.5473,21.0,13.0635,22.0,0.1694,43.0,0.0
1,longterm,rand,number_of_occupied_spaces,8750,28.4278,26.0,9.5985,11.0,0.9217,48.0,4.4457
2,longterm,vesten,number_of_occupied_spaces,12212,29.3584,24.0,19.7027,39.0,0.2665,59.0,0.0
3,shortterm,centrum,number_of_occupied_spaces,152287,59.2526,48.0,47.2198,63.0,1.0592,155.0,2.2096
4,shortterm,rand,number_of_occupied_spaces,26339,161.8762,152.0,74.6622,115.0,0.4817,293.0,0.2126
5,shortterm,vesten,number_of_occupied_spaces,105898,38.3299,27.0,40.6533,40.0,1.9889,131.0,6.6234
6,longterm,centrum,number_of_spaces_override,25681,43.5026,50.0,16.9896,40.0,-0.5437,60.0,0.0
7,longterm,rand,number_of_spaces_override,8750,100.0,100.0,0.0,0.0,0.0,100.0,0.0
8,longterm,vesten,number_of_spaces_override,12212,65.8171,64.0,4.9328,5.0,-3.8679,69.0,2.473
9,shortterm,centrum,number_of_spaces_override,152287,130.8788,120.0,61.6737,55.0,0.6569,235.0,23.3809
10,shortterm,rand,number_of_spaces_override,26339,416.0,416.0,0.0,0.0,0.0,416.0,0.0
11,shortterm,vesten,number_of_spaces_override,105898,140.4022,120.0,86.0342,86.0,1.3853,350.0,10.6357
12,longterm,centrum,occupancy_rate,25681,0.4802,0.4333,0.2381,0.3833,0.2056,0.88,0.0
13,longterm,rand,occupancy_rate,8750,0.2843,0.26,0.096,0.11,0.9217,0.48,4.4457
14,longterm,vesten,occupancy_rate,12212,0.4565,0.359,0.315,0.6218,0.2596,0.9219,0.0
15,shortterm,centrum,occupancy_rate,152287,0.4503,0.3965,0.2866,0.4726,0.3721,0.9697,0.0
16,shortterm,rand,occupancy_rate,26339,0.3891,0.3654,0.1795,0.2764,0.4817,0.7043,0.2126
17,shortterm,vesten,occupancy_rate,105898,0.3018,0.24,0.257,0.3728,0.8955,0.8471,0.0
18,longterm,centrum,total_capacity,25681,131.3096,130.0,18.7118,46.0,0.1095,155.0,0.0
19,longterm,rand,total_capacity,8750,516.0,516.0,0.0,0.0,0.0,516.0,0.0
20,longterm,vesten,total_capacity,12212,155.659,124.0,32.4904,65.0,0.0518,189.0,0.0
21,shortterm,centrum,total_capacity,152287,161.9099,130.0,53.3928,26.0,1.0095,255.0,23.3809
22,shortterm,rand,total_capacity,26339,516.0,516.0,0.0,0.0,0.0,516.0,0.0
23,shortterm,vesten,total_capacity,105898,219.2808,189.0,104.5278,226.0,0.3796,350.0,0.0
