,dataset_label,year,variable,n,mean,median,std,iqr,skew,q95,iqr_outlier_pct
0,longterm,2024,number_of_occupied_spaces,46643,24.8831,23.0,15.0532,23.0,0.4437,53.0,0.0
1,shortterm,2018,number_of_occupied_spaces,5,101.0,85.0,71.0634,82.0,0.8376,192.2,0.0
2,shortterm,2019,number_of_occupied_spaces,33000,61.1807,47.0,46.2197,55.0,1.2838,158.0,4.2273
3,shortterm,2020,number_of_occupied_spaces,32741,53.4383,42.0,40.2265,49.0,1.2309,129.0,2.7916
4,shortterm,2021,number_of_occupied_spaces,13630,61.7478,53.0,36.2395,47.0,1.0589,134.0,2.1864
5,shortterm,2022,number_of_occupied_spaces,12762,69.8327,62.0,40.8233,53.0,1.1413,149.0,2.5701
6,shortterm,2023,number_of_occupied_spaces,39980,74.1557,59.0,63.4628,92.0,1.0316,203.0,1.1906
7,shortterm,2024,number_of_occupied_spaces,57116,48.5172,28.0,52.2016,59.0,1.7132,155.0,4.7255
8,shortterm,2025,number_of_occupied_spaces,87600,64.7669,34.0,72.2917,76.0,1.6012,223.0,6.3539
9,shortterm,2026,number_of_occupied_spaces,7690,56.5376,33.0,59.3555,59.0,1.4129,185.55,8.6086
10,longterm,2024,number_of_spaces_override,46643,59.9436,60.0,24.9832,19.0,0.0223,100.0,36.9209
11,shortterm,2018,number_of_spaces_override,5,145.0,135.0,60.3987,72.0,0.8174,222.2,0.0
12,shortterm,2019,number_of_spaces_override,33000,152.5283,135.0,54.3155,72.0,0.308,235.0,0.0
13,shortterm,2020,number_of_spaces_override,32741,149.9393,135.0,52.0039,72.0,0.3882,235.0,0.0
14,shortterm,2021,number_of_spaces_override,13630,156.7372,171.0,52.7156,72.0,0.0254,235.0,0.0
15,shortterm,2022,number_of_spaces_override,12762,139.7627,135.0,50.4957,72.0,0.5995,235.0,0.0
16,shortterm,2023,number_of_spaces_override,39980,181.6318,120.0,126.0522,150.0,1.0906,416.0,0.0
17,shortterm,2024,number_of_spaces_override,57116,169.2457,120.0,125.4844,142.0,1.1239,416.0,0.0
18,shortterm,2025,number_of_spaces_override,87600,157.1317,109.5,122.5491,167.0,1.0946,416.0,0.0
19,shortterm,2026,number_of_spaces_override,7690,156.0693,100.0,123.6703,165.0,1.0943,416.0,0.0
20,longterm,2024,occupancy_rate,46643,0.4372,0.38,0.2538,0.4262,0.4837,0.8906,0.0
21,shortterm,2018,occupancy_rate,5,0.6728,0.8586,0.3262,0.5397,-0.5176,0.9643,0.0
22,shortterm,2019,occupancy_rate,33000,0.4133,0.3743,0.2549,0.3259,0.4774,0.9149,0.0
23,shortterm,2020,occupancy_rate,32741,0.3814,0.3404,0.2589,0.356,0.5578,0.8889,0.0
24,shortterm,2021,occupancy_rate,13630,0.4088,0.404,0.2002,0.2614,0.4128,0.7836,1.2766
25,shortterm,2022,occupancy_rate,12762,0.5247,0.5029,0.2561,0.4242,0.1347,0.9495,0.0
26,shortterm,2023,occupancy_rate,39980,0.4205,0.3822,0.277,0.4639,0.3047,0.8936,0.0
27,shortterm,2024,occupancy_rate,57116,0.309,0.2198,0.2747,0.3429,1.0701,0.9333,4.2755
28,shortterm,2025,occupancy_rate,87600,0.4008,0.3371,0.2904,0.4384,0.5605,0.9926,0.0
29,shortterm,2026,occupancy_rate,7690,0.3654,0.3259,0.2702,0.3452,0.7256,0.9407,0.0
30,longterm,2024,total_capacity,46643,209.8508,130.0,149.056,65.0,1.5054,516.0,18.7595
31,shortterm,2018,total_capacity,5,202.6,155.0,97.8943,126.0,1.0456,331.0,0.0
32,shortterm,2019,total_capacity,33000,219.1578,155.0,91.6064,221.0,0.3674,350.0,0.0
33,shortterm,2020,total_capacity,32741,217.3963,155.0,92.2259,221.0,0.4312,350.0,0.0
34,shortterm,2021,total_capacity,13630,253.0725,255.0,98.8536,221.0,-0.3027,350.0,0.0
35,shortterm,2022,total_capacity,12762,206.0288,155.0,93.0017,126.0,0.6561,350.0,0.0
36,shortterm,2023,total_capacity,39980,226.3617,130.0,153.6646,131.0,1.1812,516.0,20.075
37,shortterm,2024,total_capacity,57116,212.8929,130.0,141.3727,131.0,1.4161,516.0,15.3792
38,shortterm,2025,total_capacity,87600,208.1,142.5,125.1586,131.0,1.472,516.0,10.0
39,shortterm,2026,total_capacity,7690,208.1,142.5,125.166,131.0,1.4723,516.0,10.0
