dataset_label,year,number_of_occupied_spaces_mean,number_of_occupied_spaces_median,number_of_occupied_spaces_std,number_of_occupied_spaces_q95,number_of_spaces_override_mean,number_of_spaces_override_median,number_of_spaces_override_std,number_of_spaces_override_q95,occupancy_rate_mean,occupancy_rate_median,occupancy_rate_std,occupancy_rate_q95,total_capacity_mean,total_capacity_median,total_capacity_std,total_capacity_q95
longterm,2024,24.8831,23.0,15.0532,53.0,59.9436,60.0,24.9832,100.0,0.4372,0.38,0.2538,0.8906,209.8508,130.0,149.056,516.0
shortterm,2018,101.0,85.0,71.0634,192.2,145.0,135.0,60.3987,222.2,0.6728,0.8586,0.3262,0.9643,202.6,155.0,97.8943,331.0
shortterm,2019,61.1807,47.0,46.2197,158.0,152.5283,135.0,54.3155,235.0,0.4133,0.3743,0.2549,0.9149,219.1578,155.0,91.6064,350.0
shortterm,2020,53.4383,42.0,40.2265,129.0,149.9393,135.0,52.0039,235.0,0.3814,0.3404,0.2589,0.8889,217.3963,155.0,92.2259,350.0
shortterm,2021,61.7478,53.0,36.2395,134.0,156.7372,171.0,52.7156,235.0,0.4088,0.404,0.2002,0.7836,253.0725,255.0,98.8536,350.0
shortterm,2022,69.8327,62.0,40.8233,149.0,139.7627,135.0,50.4957,235.0,0.5247,0.5029,0.2561,0.9495,206.0288,155.0,93.0017,350.0
shortterm,2023,74.1557,59.0,63.4628,203.0,181.6318,120.0,126.0522,416.0,0.4205,0.3822,0.277,0.8936,226.3617,130.0,153.6646,516.0
shortterm,2024,48.5172,28.0,52.2016,155.0,169.2457,120.0,125.4844,416.0,0.309,0.2198,0.2747,0.9333,212.8929,130.0,141.3727,516.0
shortterm,2025,64.7669,34.0,72.2917,223.0,157.1317,109.5,122.5491,416.0,0.4008,0.3371,0.2904,0.9926,208.1,142.5,125.1586,516.0
shortterm,2026,56.5376,33.0,59.3555,185.55,156.0693,100.0,123.6703,416.0,0.3654,0.3259,0.2702,0.9407,208.1,142.5,125.166,516.0
