,series,transform,n_used,adf_stat,adf_p,kpss_stat,kpss_p,joint_interpretation
0,shortterm_global,raw,20000,-9.277956,0.0,7.417726,0.01,mixed_evidence
1,shortterm_global,diff_24h,20000,-31.048746,0.0,0.00487,0.1,consistent_stationary
2,shortterm_global,diff_168h,20000,-12.685983,0.0,0.107423,0.1,consistent_stationary
3,shortterm_global,diff_24h_then_168h,20000,-27.575325,0.0,0.002973,0.1,consistent_stationary
4,shortterm_tier_centrum,raw,20000,-9.925682,0.0,12.238812,0.01,mixed_evidence
5,shortterm_tier_centrum,diff_24h,20000,-31.267698,0.0,0.003924,0.1,consistent_stationary
6,shortterm_tier_centrum,diff_168h,20000,-13.307829,0.0,0.087204,0.1,consistent_stationary
7,shortterm_tier_centrum,diff_24h_then_168h,20000,-29.117033,0.0,0.014765,0.1,consistent_stationary
8,shortterm_tier_vesten_of_rand,raw,20000,-7.394358,0.0,3.236731,0.01,mixed_evidence
9,shortterm_tier_vesten_of_rand,diff_24h,20000,-30.842775,0.0,0.006098,0.1,consistent_stationary
10,shortterm_tier_vesten_of_rand,diff_168h,20000,-11.50305,0.0,0.09508,0.1,consistent_stationary
11,shortterm_tier_vesten_of_rand,diff_24h_then_168h,20000,-28.591186,0.0,0.002769,0.1,consistent_stationary
12,longterm_global,raw,8783,-6.997337,0.0,2.039734,0.01,mixed_evidence
13,longterm_global,diff_24h,8759,-16.612764,0.0,0.010507,0.1,consistent_stationary
14,longterm_global,diff_168h,8615,-8.92041,0.0,0.198235,0.1,consistent_stationary
15,longterm_global,diff_24h_then_168h,8591,-16.907999,0.0,0.014777,0.1,consistent_stationary
16,longterm_tier_centrum,raw,8783,-7.283275,0.0,2.818553,0.01,mixed_evidence
17,longterm_tier_centrum,diff_24h,8759,-16.743452,0.0,0.008953,0.1,consistent_stationary
18,longterm_tier_centrum,diff_168h,8615,-9.929626,0.0,0.105416,0.1,consistent_stationary
19,longterm_tier_centrum,diff_24h_then_168h,8591,-17.094187,0.0,0.007436,0.1,consistent_stationary
20,longterm_tier_vesten_of_rand,raw,8783,-6.937843,0.0,3.926253,0.01,mixed_evidence
21,longterm_tier_vesten_of_rand,diff_24h,8759,-16.824249,0.0,0.008549,0.1,consistent_stationary
22,longterm_tier_vesten_of_rand,diff_168h,8615,-7.980778,0.0,0.128999,0.1,consistent_stationary
23,longterm_tier_vesten_of_rand,diff_24h_then_168h,8591,-13.790583,0.0,0.016585,0.1,consistent_stationary
24,shortterm_parking_P_Grote_Markt,raw,20000,-14.918337,0.0,0.511826,0.039003,mixed_evidence
25,shortterm_parking_P_Grote_Markt,diff_24h,20000,-31.52479,0.0,0.002004,0.1,consistent_stationary
26,shortterm_parking_P_Grote_Markt,diff_168h,20000,-13.26042,0.0,0.012407,0.1,consistent_stationary
27,shortterm_parking_P_Grote_Markt,diff_24h_then_168h,20000,-28.93773,0.0,0.012598,0.1,consistent_stationary
28,shortterm_parking_P_Keerdok,raw,20000,-5.277448,6e-06,7.875869,0.01,mixed_evidence
29,shortterm_parking_P_Keerdok,diff_24h,20000,-26.2075,0.0,0.007862,0.1,consistent_stationary
30,shortterm_parking_P_Keerdok,diff_168h,20000,-10.185967,0.0,0.046152,0.1,consistent_stationary
31,shortterm_parking_P_Keerdok,diff_24h_then_168h,20000,-26.400063,0.0,0.003335,0.1,consistent_stationary
