,series,period_hours,power
0,shortterm_global,24.0,0.0035
1,shortterm_global,23.9906,0.0034
2,shortterm_global,24.0094,0.0018
3,shortterm_global,23.9719,0.0007
4,shortterm_global,12.0,0.0002
5,shortterm_global,168.1315,0.0002
6,shortterm_tier_centrum,23.9906,0.0064
7,shortterm_tier_centrum,24.0,0.0043
8,shortterm_tier_centrum,24.0094,0.0035
9,shortterm_tier_centrum,23.9719,0.0013
10,shortterm_tier_centrum,23.9812,0.0007
11,shortterm_tier_centrum,24.0188,0.0006
12,shortterm_tier_vesten_of_rand,24.0,0.003
13,shortterm_tier_vesten_of_rand,23.9906,0.0014
14,shortterm_tier_vesten_of_rand,24.0094,0.0005
15,shortterm_tier_vesten_of_rand,24.0188,0.0002
16,shortterm_tier_vesten_of_rand,23.9719,0.0002
17,shortterm_tier_vesten_of_rand,12.0,0.0002
18,longterm_global,23.9973,0.0026
19,longterm_global,165.717,0.0005
20,longterm_global,172.2157,0.0002
21,longterm_global,168.9038,0.0002
22,longterm_global,7.9991,0.0002
23,longterm_global,84.4519,0.0002
24,longterm_tier_centrum,23.9973,0.0058
25,longterm_tier_centrum,7.9991,0.0005
26,longterm_tier_centrum,165.717,0.0004
27,longterm_tier_centrum,168.9038,0.0004
28,longterm_tier_centrum,11.9986,0.0003
29,longterm_tier_centrum,27.9713,0.0003
30,longterm_tier_vesten_of_rand,165.717,0.0007
31,longterm_tier_vesten_of_rand,23.9973,0.0007
32,longterm_tier_vesten_of_rand,975.8889,0.0005
33,longterm_tier_vesten_of_rand,172.2157,0.0004
34,longterm_tier_vesten_of_rand,23.9319,0.0003
35,longterm_tier_vesten_of_rand,84.4519,0.0003
36,shortterm_parking_P_Grote_Markt,23.9906,0.0141
37,shortterm_parking_P_Grote_Markt,24.0,0.0117
38,shortterm_parking_P_Grote_Markt,24.0094,0.0068
39,shortterm_parking_P_Grote_Markt,23.9719,0.0031
40,shortterm_parking_P_Grote_Markt,23.9812,0.0018
41,shortterm_parking_P_Grote_Markt,24.0188,0.0013
42,shortterm_parking_P_Keerdok,24.0,0.0019
43,shortterm_parking_P_Keerdok,168.3117,0.001
44,shortterm_parking_P_Keerdok,893.7931,0.0004
45,shortterm_parking_P_Keerdok,55.9827,0.0004
46,shortterm_parking_P_Keerdok,167.2258,0.0003
47,shortterm_parking_P_Keerdok,508.2353,0.0002
