,parking_id,total_capacity,mean_occupancy,q95_occupancy,std_occupancy,tier_temporal,parking_location_category,dataset_label
11,P Hoogstraat,109.0,0.6832,0.92,0.1928,centrum,centrum,longterm
14,P Komet,124.0,0.7203,0.9531,0.22,vesten_of_rand,vesten,longterm
16,P Tinel,124.0,0.5101,0.9487,0.3421,vesten_of_rand,vesten,longterm
12,P Kathedraal,130.0,0.3806,0.5667,0.1091,centrum,centrum,longterm
10,P Grote Markt,155.0,0.3794,0.85,0.2466,centrum,centrum,longterm
15,P Maarten,189.0,0.1892,0.3913,0.0895,vesten_of_rand,vesten,longterm
13,P Keerdok,516.0,0.2843,0.48,0.096,vesten_of_rand,rand,longterm
2,P Hoogstraat,109.0,0.2929,0.78,0.2299,centrum,centrum,shortterm
5,P Komet,124.0,0.2304,0.55,0.164,vesten_of_rand,vesten,shortterm
8,P Tinel,124.0,0.4492,0.9833,0.2748,vesten_of_rand,vesten,shortterm
9,P Veemarkt,129.0,0.4759,0.9495,0.2819,centrum,centrum,shortterm
3,P Kathedraal,130.0,0.4769,1.0,0.344,centrum,centrum,shortterm
1,P Grote Markt,155.0,0.4824,1.0,0.3157,centrum,centrum,shortterm
7,P Maarten,189.0,0.0968,0.2917,0.0996,vesten_of_rand,vesten,shortterm
6,P Lamot,255.0,0.467,0.8638,0.2244,centrum,centrum,shortterm
0,P Bruul,350.0,0.2143,0.5886,0.2082,vesten_of_rand,vesten,shortterm
4,P Keerdok,516.0,0.3882,0.7067,0.1813,vesten_of_rand,rand,shortterm
