parking_id,P Bruul,P Grote Markt,P Hoogstraat,P Kathedraal,P Keerdok,P Komet,P Lamot,P Maarten,P Tinel,P Veemarkt
P Bruul,1.0,0.817,0.717,0.742,0.516,0.415,0.678,-0.025,0.823,0.799
P Grote Markt,0.817,1.0,0.817,0.958,0.742,0.488,0.817,-0.013,0.946,0.953
P Hoogstraat,0.717,0.817,1.0,0.837,0.9,0.847,0.93,0.397,0.77,0.739
P Kathedraal,0.742,0.958,0.837,1.0,0.795,0.557,0.817,0.032,0.939,0.906
P Keerdok,0.516,0.742,0.9,0.795,1.0,0.85,0.886,0.447,0.719,0.684
P Komet,0.415,0.488,0.847,0.557,0.85,1.0,0.721,0.645,0.479,0.428
P Lamot,0.678,0.817,0.93,0.817,0.886,0.721,1.0,0.385,0.756,0.746
P Maarten,-0.025,-0.013,0.397,0.032,0.447,0.645,0.385,1.0,-0.069,-0.062
P Tinel,0.823,0.946,0.77,0.939,0.719,0.479,0.756,-0.069,1.0,0.957
P Veemarkt,0.799,0.953,0.739,0.906,0.684,0.428,0.746,-0.062,0.957,1.0
