,dataset_label,event_col,tier_temporal,n_event,n_non_event,mean_event,mean_non_event,delta_event_minus_non
32,longterm,is_carnival_day,centrum,431,25250,0.4731,0.4803,-0.0072
33,longterm,is_carnival_day,vesten_of_rand,144,20818,0.2396,0.3856,-0.146
18,longterm,is_event_day,centrum,7924,17757,0.4384,0.4988,-0.0604
19,longterm,is_event_day,vesten_of_rand,6858,14104,0.3592,0.3969,-0.0377
24,longterm,is_festival_day,centrum,1371,24310,0.4047,0.4844,-0.0797
25,longterm,is_festival_day,vesten_of_rand,1381,19581,0.3051,0.3902,-0.0851
20,longterm,is_football_day,centrum,1068,24613,0.4598,0.481,-0.0213
21,longterm,is_football_day,vesten_of_rand,744,20218,0.3269,0.3867,-0.0598
28,longterm,is_kermis_day,centrum,2766,22915,0.4311,0.4861,-0.055
29,longterm,is_kermis_day,vesten_of_rand,2613,18349,0.3944,0.3832,0.0112
30,longterm,is_markt_day,centrum,1000,24681,0.4401,0.4818,-0.0417
31,longterm,is_markt_day,vesten_of_rand,864,20098,0.3395,0.3865,-0.047
34,longterm,is_other_day,centrum,1431,24250,0.4415,0.4824,-0.0409
35,longterm,is_other_day,vesten_of_rand,1352,19610,0.3878,0.3844,0.0034
26,longterm,is_procession_day,centrum,359,25322,0.4383,0.4808,-0.0425
27,longterm,is_procession_day,vesten_of_rand,358,20604,0.4218,0.3839,0.0379
22,longterm,is_sport_day,centrum,1705,23976,0.4176,0.4846,-0.067
23,longterm,is_sport_day,vesten_of_rand,1503,19459,0.3365,0.3883,-0.0518
14,shortterm,is_carnival_day,centrum,1663,134266,0.3815,0.4472,-0.0657
15,shortterm,is_carnival_day,vesten_of_rand,1191,113317,0.333,0.3055,0.0275
0,shortterm,is_event_day,centrum,32350,103579,0.4465,0.4464,0.0002
1,shortterm,is_event_day,vesten_of_rand,29451,85057,0.3277,0.2983,0.0294
6,shortterm,is_festival_day,centrum,3514,132415,0.4966,0.4451,0.0515
7,shortterm,is_festival_day,vesten_of_rand,3872,110636,0.3081,0.3057,0.0023
2,shortterm,is_football_day,centrum,4616,131313,0.4296,0.447,-0.0174
3,shortterm,is_football_day,vesten_of_rand,4080,110428,0.3433,0.3044,0.0389
10,shortterm,is_kermis_day,centrum,14306,121623,0.4467,0.4464,0.0003
11,shortterm,is_kermis_day,vesten_of_rand,12623,101885,0.3545,0.2998,0.0547
12,shortterm,is_markt_day,centrum,3043,132886,0.4272,0.4469,-0.0197
13,shortterm,is_markt_day,vesten_of_rand,2873,111635,0.2942,0.3061,-0.012
16,shortterm,is_other_day,centrum,5072,130857,0.4484,0.4464,0.0021
17,shortterm,is_other_day,vesten_of_rand,4976,109532,0.3031,0.3059,-0.0028
8,shortterm,is_procession_day,centrum,848,135081,0.494,0.4461,0.0479
9,shortterm,is_procession_day,vesten_of_rand,750,113758,0.3006,0.3059,-0.0053
4,shortterm,is_sport_day,centrum,6134,129795,0.42,0.4477,-0.0277
5,shortterm,is_sport_day,vesten_of_rand,5478,109030,0.3169,0.3053,0.0117
