,event_col,centrum,vesten_of_rand,tier_gap_centrum_minus_outer,dataset_label
0,is_carnival_day,-0.0072,-0.146,0.1388,longterm
3,is_football_day,-0.0213,-0.0598,0.0385,longterm
2,is_festival_day,-0.0797,-0.0851,0.0053,longterm
5,is_markt_day,-0.0417,-0.047,0.0053,longterm
8,is_sport_day,-0.067,-0.0518,-0.0152,longterm
1,is_event_day,-0.0604,-0.0377,-0.0227,longterm
6,is_other_day,-0.0409,0.0034,-0.0444,longterm
4,is_kermis_day,-0.055,0.0112,-0.0662,longterm
7,is_procession_day,-0.0425,0.0379,-0.0804,longterm
16,is_procession_day,0.0479,-0.0053,0.0532,shortterm
11,is_festival_day,0.0515,0.0023,0.0492,shortterm
15,is_other_day,0.0021,-0.0028,0.0049,shortterm
14,is_markt_day,-0.0197,-0.012,-0.0077,shortterm
10,is_event_day,0.0002,0.0294,-0.0292,shortterm
17,is_sport_day,-0.0277,0.0117,-0.0393,shortterm
13,is_kermis_day,0.0003,0.0547,-0.0545,shortterm
12,is_football_day,-0.0174,0.0389,-0.0563,shortterm
9,is_carnival_day,-0.0657,0.0275,-0.0932,shortterm
