,threshold,lag_hours,n_sat,n_non_sat,outer_mean_when_sat,outer_mean_when_not_sat,delta_outer_sat_minus_not,dataset_label
0,0.85,0.0,2359.0,37614.0,0.4499,0.2844,0.1656,shortterm
1,0.85,1.0,2359.0,37613.0,0.4451,0.2847,0.1604,shortterm
2,0.85,2.0,2359.0,37612.0,0.4236,0.286,0.1375,shortterm
3,0.85,3.0,2359.0,37611.0,0.3985,0.2876,0.1109,shortterm
4,0.85,6.0,2359.0,37608.0,0.3269,0.2921,0.0348,shortterm
5,0.9,0.0,1276.0,38697.0,0.4703,0.2883,0.1819,shortterm
6,0.9,1.0,1276.0,38696.0,0.4696,0.2884,0.1812,shortterm
7,0.9,2.0,1276.0,38695.0,0.4478,0.2891,0.1587,shortterm
8,0.9,3.0,1276.0,38694.0,0.4166,0.2901,0.1265,shortterm
9,0.9,6.0,1276.0,38691.0,0.3363,0.2928,0.0436,shortterm
10,0.95,0.0,312.0,39661.0,0.4664,0.2928,0.1736,shortterm
11,0.95,1.0,312.0,39660.0,0.47,0.2928,0.1772,shortterm
12,0.95,2.0,312.0,39659.0,0.4485,0.2929,0.1556,shortterm
13,0.95,3.0,312.0,39658.0,0.4212,0.2932,0.1281,shortterm
14,0.95,6.0,312.0,39655.0,0.3583,0.2937,0.0646,shortterm
