,threshold,min_share_center_sat,lag_hours,n_sat,n_non_sat,delta_outer_sat_minus_not,dataset_label
0,0.85,0.5,0,5076,34897,0.1371,shortterm
1,0.85,0.5,1,5075,34897,0.13,shortterm
2,0.85,0.5,2,5075,34896,0.1113,shortterm
3,0.85,0.5,3,5075,34895,0.0875,shortterm
4,0.9,0.5,0,3410,36563,0.14,shortterm
5,0.9,0.5,1,3410,36562,0.136,shortterm
6,0.9,0.5,2,3410,36561,0.1159,shortterm
7,0.9,0.5,3,3410,36560,0.0884,shortterm
8,0.95,0.5,0,1539,38434,0.1295,shortterm
9,0.95,0.5,1,1539,38433,0.1294,shortterm
10,0.95,0.5,2,1539,38432,0.1084,shortterm
11,0.95,0.5,3,1539,38431,0.0805,shortterm
12,0.85,0.5,0,222,8553,0.0621,longterm
13,0.85,0.5,1,222,8552,0.0707,longterm
14,0.85,0.5,2,222,8551,0.0674,longterm
15,0.85,0.5,3,222,8550,0.0666,longterm
16,0.9,0.5,0,105,8670,0.0634,longterm
17,0.9,0.5,1,105,8669,0.0778,longterm
18,0.9,0.5,2,105,8668,0.0769,longterm
19,0.9,0.5,3,105,8667,0.0796,longterm
20,0.95,0.5,0,33,8742,0.0639,longterm
21,0.95,0.5,1,33,8741,0.0874,longterm
22,0.95,0.5,2,33,8740,0.0832,longterm
23,0.95,0.5,3,33,8739,0.0874,longterm
