,lag_hours,corr_centrum_vs_outer,dataset_label
0,-6,-0.0556,shortterm
1,-5,0.0318,shortterm
2,-4,0.1199,shortterm
3,-3,0.2121,shortterm
4,-2,0.306,shortterm
5,-1,0.3849,shortterm
6,0,0.4304,shortterm
7,1,0.3849,shortterm
8,2,0.306,shortterm
9,3,0.2121,shortterm
10,4,0.1199,shortterm
11,5,0.0318,shortterm
12,6,-0.0556,shortterm
13,-6,0.143,longterm
14,-5,0.1908,longterm
15,-4,0.2283,longterm
16,-3,0.2608,longterm
17,-2,0.2924,longterm
18,-1,0.319,longterm
19,0,0.3335,longterm
20,1,0.319,longterm
21,2,0.2924,longterm
22,3,0.2608,longterm
23,4,0.2283,longterm
24,5,0.1908,longterm
25,6,0.143,longterm
