,dataset_label,qc_col,dtype,missing_pct,true_pct,false_pct
0,shortterm,qc_temp,object,13.177,86.4002,0.4229
1,shortterm,qc_precip,object,13.177,86.6214,0.2016
2,shortterm,qc_wind_speed,object,13.177,86.5611,0.2619
3,shortterm,qc_wind_gusts,object,13.177,86.5591,0.2639
4,shortterm,qc_humidity,object,13.177,70.4656,16.3574
5,shortterm,qc_pressure,object,13.177,86.5319,0.2911
6,longterm,qc_temp,bool,0.0,99.7749,0.2251
7,longterm,qc_precip,bool,0.0,99.8864,0.1136
8,longterm,qc_wind_speed,bool,0.0,99.7749,0.2251
9,longterm,qc_wind_gusts,bool,0.0,99.7749,0.2251
10,longterm,qc_humidity,bool,0.0,94.6894,5.3106
11,longterm,qc_pressure,bool,0.0,99.6698,0.3302
