,temp_q,occupancy_rate,dataset_label,season
0,Q1,0.3331,shortterm,herfst
1,Q2,0.3604,shortterm,herfst
2,Q3,0.3942,shortterm,herfst
3,Q4,0.4234,shortterm,herfst
4,Q1,0.3329,shortterm,lente
5,Q2,0.361,shortterm,lente
6,Q3,0.364,shortterm,lente
7,Q4,0.426,shortterm,lente
8,Q1,0.3566,shortterm,winter
9,Q2,0.3867,shortterm,winter
10,Q3,0.3917,shortterm,winter
11,Q4,0.3982,shortterm,winter
12,Q1,0.2882,shortterm,zomer
13,Q2,0.3502,shortterm,zomer
14,Q3,0.4197,shortterm,zomer
15,Q4,0.4512,shortterm,zomer
16,Q1,0.4405,longterm,herfst
17,Q2,0.4275,longterm,herfst
18,Q3,0.397,longterm,herfst
19,Q4,0.3783,longterm,herfst
20,Q1,0.4327,longterm,lente
21,Q2,0.4652,longterm,lente
22,Q3,0.4594,longterm,lente
23,Q4,0.4776,longterm,lente
24,Q1,0.4735,longterm,winter
25,Q2,0.5122,longterm,winter
26,Q3,0.4954,longterm,winter
27,Q4,0.4992,longterm,winter
28,Q1,0.4141,longterm,zomer
29,Q2,0.3984,longterm,zomer
30,Q3,0.3899,longterm,zomer
31,Q4,0.4021,longterm,zomer
