,dataset_label,calendar_day_class,count,mean,median,std
2,longterm,regular_day,21972,0.4698,0.4167,0.2653
1,longterm,other_holiday,1558,0.4539,0.3833,0.2657
4,longterm,weekend,8998,0.415,0.35,0.2376
3,longterm,school_vacation,12535,0.4016,0.34,0.2365
0,longterm,national_holiday,1580,0.3774,0.3,0.2391
9,shortterm,weekend,51040,0.3953,0.3392,0.285
7,shortterm,regular_day,132160,0.3843,0.3317,0.2784
6,shortterm,other_holiday,7488,0.3777,0.303,0.2826
8,shortterm,school_vacation,52693,0.3713,0.3005,0.2778
5,shortterm,national_holiday,7056,0.3323,0.2638,0.2511
