,flag_col,n_true,n_false,mean_true,mean_false,delta_true_minus_false,dataset_label,month_adjusted_delta
0,is_event_day,61801,188636,0.38989,0.3796,0.01029,shortterm,0.00607
1,is_football_day,8696,241741,0.38914,0.38189,0.00725,shortterm,0.00063
2,is_sport_day,11612,238825,0.37137,0.38266,-0.01129,shortterm,-0.02245
3,is_festival_day,7386,243051,0.39779,0.38167,0.01612,shortterm,0.00666
4,is_procession_day,1598,248839,0.4032,0.38201,0.0212,shortterm,0.01469
5,is_kermis_day,26929,223508,0.40349,0.37957,0.02392,shortterm,0.00681
6,is_markt_day,5916,244521,0.36259,0.38261,-0.02003,shortterm,-0.01336
7,is_carnival_day,2854,247583,0.36129,0.38238,-0.02109,shortterm,-0.01583
8,is_other_day,10048,240389,0.37649,0.38238,-0.00589,shortterm,-0.01142
9,is_event_day,14782,31861,0.40166,0.4537,-0.05204,longterm,-0.02575
10,is_football_day,1812,44831,0.40523,0.4385,-0.03326,longterm,-0.02866
11,is_sport_day,3208,43435,0.3796,0.44146,-0.06187,longterm,-0.0353
12,is_festival_day,2752,43891,0.35473,0.44238,-0.08764,longterm,-0.04667
13,is_procession_day,717,45926,0.43007,0.43732,-0.00725,longterm,-0.02201
14,is_kermis_day,5379,41264,0.41327,0.44033,-0.02705,longterm,-0.00613
15,is_markt_day,1864,44779,0.39346,0.43903,-0.04557,longterm,-0.01313
16,is_carnival_day,575,46068,0.41461,0.43749,-0.02288,longterm,-0.04308
17,is_other_day,2783,43860,0.41541,0.43859,-0.02318,longterm,-0.02268
