,event_scale_max,count,mean,dataset_label,tier_temporal,feature,n_concurrent_events
0,0.0,103579,0.4464,shortterm,centrum,event_scale_max,
1,1.0,6262,0.4163,shortterm,centrum,event_scale_max,
2,2.0,24235,0.4517,shortterm,centrum,event_scale_max,
3,3.0,1853,0.4821,shortterm,centrum,event_scale_max,
4,,103579,0.4464,shortterm,centrum,n_concurrent_events,0.0
5,,26458,0.4537,shortterm,centrum,n_concurrent_events,1.0
6,,4938,0.4061,shortterm,centrum,n_concurrent_events,2.0
7,,954,0.4566,shortterm,centrum,n_concurrent_events,3.0
8,0.0,85057,0.2983,shortterm,vesten_of_rand,event_scale_max,
9,1.0,5088,0.3458,shortterm,vesten_of_rand,event_scale_max,
10,2.0,22547,0.321,shortterm,vesten_of_rand,event_scale_max,
11,3.0,1816,0.3591,shortterm,vesten_of_rand,event_scale_max,
12,,85057,0.2983,shortterm,vesten_of_rand,n_concurrent_events,0.0
13,,24078,0.3251,shortterm,vesten_of_rand,n_concurrent_events,1.0
14,,4354,0.3482,shortterm,vesten_of_rand,n_concurrent_events,2.0
15,,1019,0.3016,shortterm,vesten_of_rand,n_concurrent_events,3.0
16,0.0,17757,0.4988,longterm,centrum,event_scale_max,
17,1.0,1004,0.475,longterm,centrum,event_scale_max,
18,2.0,6370,0.4342,longterm,centrum,event_scale_max,
19,3.0,550,0.4206,longterm,centrum,event_scale_max,
20,,17757,0.4988,longterm,centrum,n_concurrent_events,0.0
21,,6215,0.4451,longterm,centrum,n_concurrent_events,1.0
22,,1211,0.4178,longterm,centrum,n_concurrent_events,2.0
23,,498,0.4052,longterm,centrum,n_concurrent_events,3.0
24,0.0,14104,0.3969,longterm,vesten_of_rand,event_scale_max,
25,1.0,624,0.3552,longterm,vesten_of_rand,event_scale_max,
26,2.0,5755,0.3613,longterm,vesten_of_rand,event_scale_max,
27,3.0,479,0.3389,longterm,vesten_of_rand,event_scale_max,
28,,14104,0.3969,longterm,vesten_of_rand,n_concurrent_events,0.0
29,,5269,0.3588,longterm,vesten_of_rand,n_concurrent_events,1.0
30,,1077,0.3761,longterm,vesten_of_rand,n_concurrent_events,2.0
31,,512,0.3277,longterm,vesten_of_rand,n_concurrent_events,3.0
