,phase,count,mean,median,dataset_label
0,"pre_far(-8,-3]",1810,0.4719,0.4233,shortterm
1,"pre_near(-3,-1]",726,0.4556,0.4053,shortterm
2,"kick_window(-1,0.5]",444,0.4501,0.3899,shortterm
3,"post_short(0.5,2.5]",738,0.418,0.3648,shortterm
4,"post_mid(2.5,6]",874,0.3529,0.2963,shortterm
5,"post_late(6,12]",102,0.232,0.1741,shortterm
6,"pre_far(-8,-3]",373,0.4258,0.3833,longterm
7,"pre_near(-3,-1]",152,0.4264,0.4,longterm
8,"kick_window(-1,0.5]",94,0.4138,0.3583,longterm
9,"post_short(0.5,2.5]",151,0.3974,0.3167,longterm
10,"post_mid(2.5,6]",204,0.3946,0.3,longterm
11,"post_late(6,12]",84,0.4093,0.37,longterm
