,dataset_label,season,weather_var,q1_mean,q4_mean,delta_q4_minus_q1,n_bins
0,shortterm,herfst,temp_c,0.33306,0.42344,0.09038,4
1,shortterm,lente,temp_c,0.33293,0.42597,0.09304,4
2,shortterm,winter,temp_c,0.35663,0.39823,0.0416,4
3,shortterm,zomer,temp_c,0.28824,0.45118,0.16294,4
4,shortterm,herfst,wind_speed_ms,0.35299,0.40114,0.04814,4
5,shortterm,lente,wind_speed_ms,0.31242,0.40775,0.09532,4
6,shortterm,winter,wind_speed_ms,0.36594,0.40196,0.03602,4
7,shortterm,zomer,wind_speed_ms,0.29862,0.44338,0.14476,4
8,shortterm,herfst,sun_duration_min,0.3477,0.46803,0.12033,2
9,shortterm,lente,sun_duration_min,0.35003,0.43377,0.08374,2
10,shortterm,zomer,sun_duration_min,0.31721,0.43194,0.11473,3
11,shortterm,herfst,humidity_pct,0.46118,0.31142,-0.14977,4
12,shortterm,lente,humidity_pct,0.42654,0.31722,-0.10932,4
13,shortterm,winter,humidity_pct,0.41284,0.36853,-0.04432,4
14,shortterm,zomer,humidity_pct,0.46634,0.26891,-0.19743,4
15,longterm,herfst,temp_c,0.44046,0.3783,-0.06216,4
16,longterm,lente,temp_c,0.43271,0.47763,0.04491,4
17,longterm,winter,temp_c,0.47354,0.4992,0.02566,4
18,longterm,zomer,temp_c,0.41411,0.40209,-0.01203,4
19,longterm,herfst,wind_speed_ms,0.38192,0.43832,0.0564,4
20,longterm,lente,wind_speed_ms,0.43454,0.48604,0.0515,4
21,longterm,winter,wind_speed_ms,0.47883,0.51383,0.035,4
22,longterm,zomer,wind_speed_ms,0.37053,0.42362,0.05308,4
23,longterm,herfst,sun_duration_min,0.40723,0.42167,0.01444,2
24,longterm,lente,sun_duration_min,0.44412,0.50241,0.05829,2
25,longterm,zomer,sun_duration_min,0.39085,0.43222,0.04137,2
26,longterm,herfst,humidity_pct,0.42044,0.37968,-0.04076,4
27,longterm,lente,humidity_pct,0.4808,0.43461,-0.04618,4
28,longterm,winter,humidity_pct,0.51661,0.48804,-0.02857,4
29,longterm,zomer,humidity_pct,0.43787,0.37097,-0.0669,4
