,scope,dataset,driver,raw_delta,month_adjusted_delta
0,full_context,shortterm,is_event_day,0.01029,0.00607
1,full_context,shortterm,is_any_holiday,-0.02811,-0.02976
2,full_context,shortterm,is_school_vacation,-0.01918,-0.02135
3,full_context,longterm,is_event_day,-0.05204,-0.02575
4,full_context,longterm,is_any_holiday,-0.02337,-0.06357
5,full_context,longterm,is_school_vacation,-0.05379,-0.04004
6,year2024,shortterm,is_event_day,0.00398,0.03841
7,year2024,shortterm,is_any_holiday,0.00358,-0.00732
8,year2024,shortterm,is_school_vacation,-0.04822,-0.02176
9,year2024,longterm,is_event_day,-0.05204,-0.02575
10,year2024,longterm,is_any_holiday,-0.02337,-0.06357
11,year2024,longterm,is_school_vacation,-0.05379,-0.04004
12,year2024_common_parkings,shortterm,is_event_day,0.00283,0.03423
13,year2024_common_parkings,shortterm,is_any_holiday,0.00605,-0.0045
14,year2024_common_parkings,shortterm,is_school_vacation,-0.04824,-0.01122
15,year2024_common_parkings,longterm,is_event_day,-0.05204,-0.02575
16,year2024_common_parkings,longterm,is_any_holiday,-0.02337,-0.06357
17,year2024_common_parkings,longterm,is_school_vacation,-0.05379,-0.04004
