,scope,dataset,driver,q5_minus_q1_delta
0,full_context,shortterm,temp_c,0.0699
1,full_context,shortterm,precip_mm,
2,full_context,shortterm,wind_speed_ms,0.08016
3,full_context,shortterm,sun_duration_min,
4,full_context,shortterm,humidity_pct,-0.11972
5,full_context,longterm,temp_c,-0.06907
6,full_context,longterm,precip_mm,
7,full_context,longterm,wind_speed_ms,0.07542
8,full_context,longterm,sun_duration_min,
9,full_context,longterm,humidity_pct,-0.03329
10,year2024,shortterm,temp_c,-0.01722
11,year2024,shortterm,precip_mm,
12,year2024,shortterm,wind_speed_ms,0.11821
13,year2024,shortterm,sun_duration_min,
14,year2024,shortterm,humidity_pct,-0.12826
15,year2024,longterm,temp_c,-0.06907
16,year2024,longterm,precip_mm,
17,year2024,longterm,wind_speed_ms,0.07542
18,year2024,longterm,sun_duration_min,
19,year2024,longterm,humidity_pct,-0.03329
20,year2024_common_parkings,shortterm,temp_c,-0.01804
21,year2024_common_parkings,shortterm,precip_mm,
22,year2024_common_parkings,shortterm,wind_speed_ms,0.11267
23,year2024_common_parkings,shortterm,sun_duration_min,
24,year2024_common_parkings,shortterm,humidity_pct,-0.1183
25,year2024_common_parkings,longterm,temp_c,-0.06907
26,year2024_common_parkings,longterm,precip_mm,
27,year2024_common_parkings,longterm,wind_speed_ms,0.07542
28,year2024_common_parkings,longterm,sun_duration_min,
29,year2024_common_parkings,longterm,humidity_pct,-0.03329
