,precip_bin,count,mean,scope,dataset
0,0,187892,0.37806,full_context,shortterm
1,0-0.2,13745,0.38172,full_context,shortterm
2,0.2-1,9900,0.36592,full_context,shortterm
3,1-3,4839,0.36761,full_context,shortterm
4,3-8,907,0.36059,full_context,shortterm
5,8+,154,0.34737,full_context,shortterm
6,0,39715,0.43436,full_context,longterm
7,0-0.2,2919,0.45403,full_context,longterm
8,0.2-1,2396,0.44917,full_context,longterm
9,1-3,1264,0.47033,full_context,longterm
10,3-8,269,0.43014,full_context,longterm
11,8+,80,0.37625,full_context,longterm
12,0,48396,0.30819,year2024,shortterm
13,0-0.2,3750,0.32121,year2024,shortterm
14,0.2-1,2996,0.30808,year2024,shortterm
15,1-3,1580,0.31524,year2024,shortterm
16,3-8,308,0.28785,year2024,shortterm
17,8+,86,0.24528,year2024,shortterm
18,0,39715,0.43436,year2024,longterm
19,0-0.2,2919,0.45403,year2024,longterm
20,0.2-1,2396,0.44917,year2024,longterm
21,1-3,1264,0.47033,year2024,longterm
22,3-8,269,0.43014,year2024,longterm
23,8+,80,0.37625,year2024,longterm
24,0,40524,0.30295,year2024_common_parkings,shortterm
25,0-0.2,3105,0.31541,year2024_common_parkings,shortterm
26,0.2-1,2524,0.3025,year2024_common_parkings,shortterm
27,1-3,1319,0.30353,year2024_common_parkings,shortterm
28,3-8,263,0.28138,year2024_common_parkings,shortterm
29,8+,74,0.23766,year2024_common_parkings,shortterm
30,0,39715,0.43436,year2024_common_parkings,longterm
31,0-0.2,2919,0.45403,year2024_common_parkings,longterm
32,0.2-1,2396,0.44917,year2024_common_parkings,longterm
33,1-3,1264,0.47033,year2024_common_parkings,longterm
34,3-8,269,0.43014,year2024_common_parkings,longterm
35,8+,80,0.37625,year2024_common_parkings,longterm
