,n_true,n_false,mean_true,mean_false,median_true,median_false,delta_true_minus_false,cliffs_delta,u_stat,p_value,dataset_label,flag_col,tier_temporal,month_adjusted_delta,q_value
0,1709,23972,0.448972,0.482384,0.383333,0.44,-0.033412,-0.092124,18596992.0,0.0,longterm,is_any_holiday,centrum,-0.062517,0.0
1,1429,19533,0.375259,0.385265,0.27,0.27,-0.010006,-0.026608,13584984.5,0.092582,longterm,is_any_holiday,vesten_of_rand,-0.067432,0.092582
2,8027,127902,0.41674,0.448293,0.343434,0.393939,-0.031553,-0.064772,480084797.5,0.0,shortterm,is_any_holiday,centrum,-0.034799,0.0
3,6517,107991,0.280435,0.307358,0.225,0.26,-0.026923,-0.053754,332973228.5,0.0,shortterm,is_any_holiday,vesten_of_rand,-0.025477,0.0
4,7924,17757,0.438399,0.498796,0.4,0.45,-0.060396,-0.145025,60150222.0,0.0,longterm,is_event_day,centrum,-0.035463,0.0
5,6858,14104,0.35921,0.39692,0.25,0.28,-0.037711,-0.119665,42575315.0,0.0,longterm,is_event_day,vesten_of_rand,-0.014929,0.0
6,32350,103579,0.446549,0.446392,0.392593,0.39207,0.000157,-0.014924,1650385977.5,4.9e-05,shortterm,is_event_day,centrum,-0.016323,6.2e-05
7,29451,85057,0.327663,0.298265,0.28125,0.25,0.029398,0.067959,1337625793.0,0.0,shortterm,is_event_day,vesten_of_rand,0.040275,0.0
8,860,24821,0.397252,0.483033,0.35,0.45,-0.085781,-0.227364,8246372.5,0.0,longterm,is_national_holiday,centrum,-0.104036,0.0
9,720,20242,0.353694,0.385681,0.25,0.27,-0.031988,-0.090958,6624300.0,3.3e-05,longterm,is_national_holiday,vesten_of_rand,-0.074517,4.3e-05
10,3903,132026,0.393726,0.447988,0.32,0.393939,-0.054262,-0.103035,231101954.0,0.0,shortterm,is_national_holiday,centrum,-0.060311,0.0
11,3153,111355,0.256212,0.307231,0.197115,0.259615,-0.051018,-0.112833,155743146.0,0.0,shortterm,is_national_holiday,vesten_of_rand,-0.047903,0.0
12,921,24760,0.497068,0.479531,0.466667,0.433333,0.017537,0.037142,11825467.5,0.055151,longterm,is_other_holiday,centrum,-0.02361,0.058054
13,781,20181,0.4041,0.383827,0.29,0.27,0.020273,0.064732,8390809.0,0.002107,longterm,is_other_holiday,vesten_of_rand,-0.043841,0.002478
14,4602,131327,0.42968,0.447017,0.363636,0.392593,-0.017337,-0.04177,289561259.0,1e-06,shortterm,is_other_holiday,centrum,-0.027132,2e-06
15,3795,110713,0.293235,0.306258,0.240385,0.258824,-0.013023,-0.024487,204933703.5,0.010189,shortterm,is_other_holiday,vesten_of_rand,-0.015976,0.011321
16,7619,18062,0.431156,0.500831,0.383333,0.45,-0.069676,-0.170271,57091330.5,0.0,longterm,is_school_vacation,centrum,-0.036952,0.0
17,6576,14386,0.363447,0.394244,0.243188,0.28,-0.030797,-0.096703,42726997.0,0.0,longterm,is_school_vacation,vesten_of_rand,-0.052275,0.0
18,31124,104805,0.438201,0.448873,0.383838,0.393939,-0.010672,-0.022283,1594631933.5,0.0,shortterm,is_school_vacation,centrum,-0.022981,0.0
19,29092,85416,0.292014,0.31053,0.233333,0.266827,-0.018517,-0.037629,1195708993.0,0.0,shortterm,is_school_vacation,vesten_of_rand,-0.007385,0.0
