,n,rho,p_value,dataset_label,tier_temporal,weather_var,q_value
0,116893,0.152009,0.0,shortterm,centrum,temp_c,0.0
1,116893,-0.013279,6e-06,shortterm,centrum,precip_mm,7e-06
2,116893,0.094611,0.0,shortterm,centrum,wind_speed_ms,0.0
3,116893,0.168172,0.0,shortterm,centrum,sun_duration_min,0.0
4,116893,-0.205485,0.0,shortterm,centrum,humidity_pct,0.0
5,100544,0.112873,0.0,shortterm,vesten_of_rand,temp_c,0.0
6,100544,-0.00251,0.426063,shortterm,vesten_of_rand,precip_mm,0.448487
7,100544,0.106996,0.0,shortterm,vesten_of_rand,wind_speed_ms,0.0
8,100544,0.14837,0.0,shortterm,vesten_of_rand,sun_duration_min,0.0
9,100544,-0.15724,0.0,shortterm,vesten_of_rand,humidity_pct,0.0
10,25681,0.118792,0.0,longterm,centrum,temp_c,0.0
11,25681,0.001424,0.819506,longterm,centrum,precip_mm,0.819506
12,25681,0.120729,0.0,longterm,centrum,wind_speed_ms,0.0
13,25681,0.154187,0.0,longterm,centrum,sun_duration_min,0.0
14,25681,-0.170285,0.0,longterm,centrum,humidity_pct,0.0
15,20962,0.015334,0.026416,longterm,vesten_of_rand,temp_c,0.031078
16,20962,0.011611,0.092765,longterm,vesten_of_rand,precip_mm,0.103072
17,20962,0.03821,0.0,longterm,vesten_of_rand,wind_speed_ms,0.0
18,20962,0.03688,0.0,longterm,vesten_of_rand,sun_duration_min,0.0
19,20962,-0.036794,0.0,longterm,vesten_of_rand,humidity_pct,0.0
