,n_true,n_false,mean_true,mean_false,median_true,median_false,delta_true_minus_false,cliffs_delta,u_stat,p_value,dataset_label,hour,q_value
24,610,1315,0.349792,0.387621,0.25,0.28,-0.037829,-0.080303,368867.5,0.004519,longterm,0,0.008034
25,601,1308,0.348874,0.381338,0.26,0.27,-0.032464,-0.062795,368372.0,0.027276,longterm,1,0.038507
26,601,1317,0.34505,0.377398,0.25,0.266667,-0.032348,-0.064552,370211.5,0.02307,longterm,2,0.033556
27,602,1320,0.342659,0.375341,0.25,0.26087,-0.032682,-0.065149,371435.0,0.021676,longterm,3,0.032515
28,604,1318,0.343218,0.379568,0.25,0.27,-0.036351,-0.081082,365762.5,0.004241,longterm,4,0.007829
29,611,1333,0.342675,0.379778,0.25,0.27,-0.037104,-0.078497,375265.0,0.005362,longterm,5,0.009192
30,622,1336,0.362688,0.415522,0.283333,0.32,-0.052834,-0.146112,354787.0,0.0,longterm,6,0.0
31,622,1334,0.41371,0.488678,0.326667,0.4,-0.074968,-0.172889,343147.0,0.0,longterm,7,0.0
32,609,1298,0.450103,0.526262,0.35,0.433333,-0.07616,-0.175208,325991.5,0.0,longterm,8,0.0
33,620,1322,0.462806,0.523864,0.416667,0.49,-0.061058,-0.149833,348415.5,0.0,longterm,9,0.0
34,621,1334,0.450447,0.506245,0.42029,0.47,-0.055797,-0.139007,356629.5,1e-06,longterm,10,2e-06
35,622,1338,0.445194,0.514886,0.43,0.49,-0.069692,-0.172951,344150.0,0.0,longterm,11,0.0
36,622,1336,0.452005,0.520342,0.44,0.5,-0.068337,-0.16791,345730.0,0.0,longterm,12,0.0
37,622,1338,0.437974,0.50943,0.41,0.5,-0.071456,-0.180537,340993.5,0.0,longterm,13,0.0
38,620,1337,0.424599,0.498727,0.4,0.466667,-0.074128,-0.187219,336873.5,0.0,longterm,14,0.0
39,622,1332,0.428389,0.501495,0.4,0.47,-0.073106,-0.1843,337905.5,0.0,longterm,15,0.0
40,621,1333,0.440391,0.509607,0.4,0.483333,-0.069216,-0.174352,341733.0,0.0,longterm,16,0.0
41,604,1274,0.445052,0.512997,0.4,0.46,-0.067944,-0.162927,322062.0,0.0,longterm,17,0.0
42,618,1319,0.429817,0.492829,0.383333,0.45,-0.063013,-0.148844,346906.5,0.0,longterm,18,0.0
43,622,1344,0.39313,0.435867,0.34,0.383333,-0.042737,-0.108977,372433.5,9.9e-05,longterm,19,0.000207
44,621,1347,0.380468,0.412307,0.32,0.347826,-0.03184,-0.076488,386253.0,0.006308,longterm,20,0.010442
45,622,1348,0.380283,0.41202,0.316667,0.333333,-0.031737,-0.070515,389666.0,0.011739,longterm,21,0.018177
46,622,1344,0.38628,0.419657,0.313333,0.333333,-0.033377,-0.083412,383119.0,0.002888,longterm,22,0.005544
47,621,1336,0.377695,0.4085,0.29,0.3,-0.030805,-0.072909,384583.5,0.009314,longterm,23,0.014902
0,2412,6947,0.305484,0.255184,0.229101,0.2,0.050299,0.11384,9331847.0,0.0,shortterm,0,0.0
1,2316,6484,0.276234,0.232341,0.2,0.175439,0.043893,0.11579,8377877.5,0.0,shortterm,1,0.0
2,2261,6226,0.263172,0.22129,0.192982,0.1625,0.041882,0.121981,7897052.0,0.0,shortterm,2,0.0
3,2381,6519,0.272616,0.225426,0.199519,0.166667,0.047191,0.123726,8721088.0,0.0,shortterm,3,0.0
4,2472,7235,0.283344,0.241774,0.2,0.185185,0.04157,0.089504,9742843.5,0.0,shortterm,4,0.0
5,2605,7922,0.299298,0.258094,0.216667,0.20275,0.041204,0.075971,11102305.5,0.0,shortterm,5,0.0
6,2719,8506,0.317465,0.282093,0.242788,0.233333,0.035372,0.072351,12400562.5,0.0,shortterm,6,0.0
7,2773,8743,0.354635,0.330883,0.317647,0.295154,0.023751,0.055116,12790299.0,1.2e-05,shortterm,7,2.7e-05
