,dataset_label,season,weather_var,q1_mean,q4_mean,delta_q4_minus_q1,n
0,shortterm,herfst,temp_c,0.333058,0.423441,0.090382,61392
1,shortterm,herfst,wind_speed_ms,0.352993,0.401138,0.048145,61392
2,shortterm,herfst,sun_duration_min,0.347704,0.468031,0.120327,61392
3,shortterm,lente,temp_c,0.332931,0.425967,0.093037,52542
4,shortterm,lente,wind_speed_ms,0.312422,0.407745,0.095324,52542
5,shortterm,lente,sun_duration_min,0.350028,0.433769,0.083741,52542
6,shortterm,winter,temp_c,0.35663,0.398233,0.041603,55762
7,shortterm,winter,wind_speed_ms,0.365937,0.401955,0.036019,55762
8,shortterm,zomer,temp_c,0.288239,0.451183,0.162945,47741
9,shortterm,zomer,wind_speed_ms,0.298618,0.44338,0.144761,47741
10,shortterm,zomer,sun_duration_min,0.317207,0.431936,0.114729,47741
11,longterm,herfst,temp_c,0.440464,0.378299,-0.062165,13026
12,longterm,herfst,wind_speed_ms,0.381924,0.438324,0.056401,13026
13,longterm,herfst,sun_duration_min,0.407234,0.421674,0.01444,13026
14,longterm,lente,temp_c,0.432713,0.477627,0.044914,10544
15,longterm,lente,wind_speed_ms,0.434538,0.486038,0.0515,10544
16,longterm,lente,sun_duration_min,0.444123,0.502411,0.058289,10544
17,longterm,winter,temp_c,0.473537,0.499199,0.025662,10105
18,longterm,winter,wind_speed_ms,0.478829,0.513828,0.034999,10105
19,longterm,zomer,temp_c,0.414113,0.402086,-0.012027,12968
20,longterm,zomer,wind_speed_ms,0.370532,0.423617,0.053084,12968
21,longterm,zomer,sun_duration_min,0.39085,0.432219,0.041369,12968
