,family,test_id,p_value,effect,effect_metric,q_global,q_family,abs_effect,practical_threshold,practically_relevant,evidence_label
59,stlt_x_weather_fair,shortterm|humidity_pct,0.0,-0.24319,rho,0.0,0.0,0.24319,0.1,True,robust (stat + practical)
29,tier_x_weather,shortterm|centrum|humidity_pct,0.0,-0.205485,rho,0.0,0.0,0.205485,0.1,True,robust (stat + practical)
39,tier_x_weather,longterm|centrum|humidity_pct,0.0,-0.170285,rho,0.0,0.0,0.170285,0.1,True,robust (stat + practical)
28,tier_x_weather,shortterm|centrum|sun_duration_min,0.0,0.168172,rho,0.0,0.0,0.168172,0.1,True,robust (stat + practical)
55,stlt_x_weather_fair,shortterm|temp_c,0.0,0.160602,rho,0.0,0.0,0.160602,0.1,True,robust (stat + practical)
58,stlt_x_weather_fair,shortterm|sun_duration_min,0.0,0.15798,rho,0.0,0.0,0.15798,0.1,True,robust (stat + practical)
34,tier_x_weather,shortterm|vesten_of_rand|humidity_pct,0.0,-0.15724,rho,0.0,0.0,0.15724,0.1,True,robust (stat + practical)
38,tier_x_weather,longterm|centrum|sun_duration_min,0.0,0.154187,rho,0.0,0.0,0.154187,0.1,True,robust (stat + practical)
25,tier_x_weather,shortterm|centrum|temp_c,0.0,0.152009,rho,0.0,0.0,0.152009,0.1,True,robust (stat + practical)
33,tier_x_weather,shortterm|vesten_of_rand|sun_duration_min,0.0,0.14837,rho,0.0,0.0,0.14837,0.1,True,robust (stat + practical)
54,tier_weather_diff,longterm|humidity_pct,0.0,-0.133491,rho_diff,0.0,0.0,0.133491,0.05,True,robust (stat + practical)
57,stlt_x_weather_fair,shortterm|wind_speed_ms,0.0,0.130025,rho,0.0,0.0,0.130025,0.1,True,robust (stat + practical)
69,stlt_weather_diff_fair,humidity_pct,0.0,-0.128971,rho_diff,0.0,0.0,0.128971,0.05,True,robust (stat + practical)
37,tier_x_weather,longterm|centrum|wind_speed_ms,0.0,0.120729,rho,0.0,0.0,0.120729,0.1,True,robust (stat + practical)
35,tier_x_weather,longterm|centrum|temp_c,0.0,0.118792,rho,0.0,0.0,0.118792,0.1,True,robust (stat + practical)
53,tier_weather_diff,longterm|sun_duration_min,0.0,0.117306,rho_diff,0.0,0.0,0.117306,0.05,True,robust (stat + practical)
64,stlt_x_weather_fair,longterm|humidity_pct,0.0,-0.11422,rho,0.0,0.0,0.11422,0.1,True,robust (stat + practical)
30,tier_x_weather,shortterm|vesten_of_rand|temp_c,0.0,0.112873,rho,0.0,0.0,0.112873,0.1,True,robust (stat + practical)
32,tier_x_weather,shortterm|vesten_of_rand|wind_speed_ms,0.0,0.106996,rho,0.0,0.0,0.106996,0.1,True,robust (stat + practical)
50,tier_weather_diff,longterm|temp_c,0.0,0.103459,rho_diff,0.0,0.0,0.103459,0.05,True,robust (stat + practical)
65,stlt_weather_diff_fair,temp_c,0.0,0.085901,rho_diff,0.0,0.0,0.085901,0.05,True,robust (stat + practical)
8,tier_x_binary,longterm|is_national_holiday|centrum,0.0,-0.085781,delta,0.0,0.0,0.085781,0.02,True,robust (stat + practical)
52,tier_weather_diff,longterm|wind_speed_ms,0.0,0.082519,rho_diff,0.0,0.0,0.082519,0.05,True,robust (stat + practical)
102,hour_x_event,longterm|hour=8,0.0,-0.07616,delta,0.0,0.0,0.07616,0.02,True,robust (stat + practical)
101,hour_x_event,longterm|hour=7,0.0,-0.074968,delta,0.0,0.0,0.074968,0.02,True,robust (stat + practical)
108,hour_x_event,longterm|hour=14,0.0,-0.074128,delta,0.0,0.0,0.074128,0.02,True,robust (stat + practical)
109,hour_x_event,longterm|hour=15,0.0,-0.073106,delta,0.0,0.0,0.073106,0.02,True,robust (stat + practical)
107,hour_x_event,longterm|hour=13,0.0,-0.071456,delta,0.0,0.0,0.071456,0.02,True,robust (stat + practical)
105,hour_x_event,longterm|hour=11,0.0,-0.069692,delta,0.0,0.0,0.069692,0.02,True,robust (stat + practical)
16,tier_x_binary,longterm|is_school_vacation|centrum,0.0,-0.069676,delta,0.0,0.0,0.069676,0.02,True,robust (stat + practical)
110,hour_x_event,longterm|hour=16,0.0,-0.069216,delta,0.0,0.0,0.069216,0.02,True,robust (stat + practical)
106,hour_x_event,longterm|hour=12,0.0,-0.068337,delta,0.0,0.0,0.068337,0.02,True,robust (stat + practical)
111,hour_x_event,longterm|hour=17,0.0,-0.067944,delta,0.0,0.0,0.067944,0.02,True,robust (stat + practical)
112,hour_x_event,longterm|hour=18,0.0,-0.063013,delta,0.0,0.0,0.063013,0.02,True,robust (stat + practical)
68,stlt_weather_diff_fair,sun_duration_min,0.0,0.0625,rho_diff,0.0,0.0,0.0625,0.05,True,robust (stat + practical)
103,hour_x_event,longterm|hour=9,0.0,-0.061058,delta,0.0,0.0,0.061058,0.02,True,robust (stat + practical)
4,tier_x_binary,longterm|is_event_day|centrum,0.0,-0.060396,delta,0.0,0.0,0.060396,0.02,True,robust (stat + practical)
104,hour_x_event,longterm|hour=10,1e-06,-0.055797,delta,1e-06,2e-06,0.055797,0.02,True,robust (stat + practical)
20,stlt_x_binary_fair,is_event_day,0.0,0.054871,delta_diff,0.0,0.0,0.054871,0.02,True,robust (stat + practical)
10,tier_x_binary,shortterm|is_national_holiday|centrum,0.0,-0.054262,delta,0.0,0.0,0.054262,0.02,True,robust (stat + practical)
