run_id,cv_mode,fold_id,track,variant,model_family,model_key,n_train,n_valid,mae,rmse,mape,mae_tier_centrum,mae_tier_vesten_rand,mae_event,mae_non_event,fit_status
P0_profile_baseline,fold_safe,cv_fold_1,policy,P0,baseline,profile_baseline,61192,11529,0.1730673815103794,0.2249637149665921,67956.55954321183,0.1749444702706677,0.1696141854634352,0.1739919942512045,0.1725178053023768,ok
P0_profile_baseline,fold_safe,cv_fold_2,policy,P0,baseline,profile_baseline,82114,10725,0.2303106891369931,0.2792708892957156,441.5443829387898,0.2252721588080916,0.2344795600310374,0.2335960610574242,0.2281918258048746,ok
P0_profile_baseline,fold_safe,cv_fold_3,policy,P0,baseline,profile_baseline,107789,22048,0.2182613536940713,0.2824747539324992,689095.4892846225,0.2995462754892375,0.1370943215606821,0.2202346973635396,0.217567931735318,ok
P0_profile_baseline,fixed_export,cv_fold_1,policy,P0,baseline,profile_baseline,61192,11529,0.1730673815103794,0.2249637149665921,67956.55954321183,0.1749444702706677,0.1696141854634352,0.1739919942512045,0.1725178053023768,ok
P0_profile_baseline,fixed_export,cv_fold_2,policy,P0,baseline,profile_baseline,82114,10725,0.2303106891369931,0.2792708892957156,441.5443829387898,0.2252721588080916,0.2344795600310374,0.2335960610574242,0.2281918258048746,ok
P0_profile_baseline,fixed_export,cv_fold_3,policy,P0,baseline,profile_baseline,107789,22048,0.2182613536940713,0.2824747539324992,689095.4892846225,0.2995462754892375,0.1370943215606821,0.2202346973635396,0.217567931735318,ok
P1_ridge_a1_0,fold_safe,cv_fold_1,policy,P1,ridge,ridge_a1_0,61192,11529,0.2091075995964503,0.2662426388641408,103373.8831719707,0.2177054586536299,0.1932905037102252,0.2138598874938723,0.2062829095974018,ok
P1_ridge_a1_0,fold_safe,cv_fold_2,policy,P1,ridge,ridge_a1_0,82114,10725,0.2408216983533382,0.2896271999714729,512.9144575825719,0.2063096928825949,0.2693768693477035,0.244880055662103,0.2382043068681609,ok
P1_ridge_a1_0,fold_safe,cv_fold_3,policy,P1,ridge,ridge_a1_0,107789,22048,0.2153774728943727,0.26874206147205,774829.2873368268,0.275973317541259,0.1548695119960679,0.2169393140833979,0.2148286506120141,ok
P1_ridge_a1_0,fixed_export,cv_fold_1,policy,P1,ridge,ridge_a1_0,61192,11529,0.2091075995964503,0.2662426388641408,103373.8831719707,0.2177054586536299,0.1932905037102252,0.2138598874938723,0.2062829095974018,ok
