run_id,cv_mode,track,variant,model_family,model_key,folds,mean_mae,std_mae,mean_rmse,mean_mape,mean_n_valid,cv_variability_ratio
F4_rf_90_d12_l2,fixed_export,forecast,F4,random_forest,rf_90_d12_l2,3,0.045347326878647835,0.013751834044896943,0.06839677834610076,37328.083457290384,9754.0,0.3032556710938591
F4_xgb_80_d4_lr006,fixed_export,forecast,F4,xgboost,xgb_80_d4_lr006,3,0.04840963576845353,0.016585326300576367,0.0700149181169405,51667.6254271303,9754.0,0.3426038233360208
F3_rf_90_d12_l2,fixed_export,forecast,F3,random_forest,rf_90_d12_l2,3,0.04934182754689387,0.009714702857029384,0.0776863745685118,44959.10392457546,13452.666666666666,0.19688575271754272
F2_rf_90_d12_l2,fixed_export,forecast,F2,random_forest,rf_90_d12_l2,3,0.0536362960371874,0.0073784548593825924,0.08735630046816517,55984.61394781108,14767.333333333334,0.13756458600845448
F3_xgb_80_d4_lr006,fixed_export,forecast,F3,xgboost,xgb_80_d4_lr006,3,0.0538740497221153,0.010686803211466814,0.08199672699506756,70527.8618466157,13452.666666666666,0.19836643553974154
F4_ridge_a1_0,fixed_export,forecast,F4,ridge,ridge_a1_0,3,0.053978625036943596,0.018204221101589257,0.07853351340872447,54476.11936615833,9754.0,0.337248699631198
F3_ridge_a1_0,fixed_export,forecast,F3,ridge,ridge_a1_0,3,0.05960121432926673,0.011781788805582645,0.08972225494558304,67712.80399457435,13452.666666666666,0.19767699262793856
F2_xgb_80_d4_lr006,fixed_export,forecast,F2,xgboost,xgb_80_d4_lr006,3,0.062026811171939304,0.010489734861963168,0.09609460034346977,88075.77639551996,14767.333333333334,0.1691161396784603
F0_persistence_baseline,fixed_export,forecast,F0,baseline,persistence_baseline,3,0.06653621581688177,0.015689254500868135,0.11673291401138719,22585.285302664746,14767.333333333334,0.235800222604295
F2_ridge_a1_0,fixed_export,forecast,F2,ridge,ridge_a1_0,3,0.07635443986580424,0.017422204771575765,0.11299539607106263,104084.93914325797,14767.333333333334,0.22817539886607688
F1_xgb_80_d4_lr006,fixed_export,forecast,F1,xgboost,xgb_80_d4_lr006,3,0.22226695639648297,0.04370581200022503,0.2730833141962043,450958.50123533,14767.333333333334,0.1966365703153013
F1_ridge_a1_0,fixed_export,forecast,F1,ridge,ridge_a1_0,3,0.22277288711107138,0.013884028890499764,0.27669705380626763,279763.1371373893,14767.333333333334,0.062323692396092104
F1_rf_90_d12_l2,fixed_export,forecast,F1,random_forest,rf_90_d12_l2,3,0.26011439007861265,0.10477800330511905,0.33321787801572633,500316.5135950393,14767.333333333334,0.40281509713266034
F4_rf_90_d12_l2,fold_safe,forecast,F4,random_forest,rf_90_d12_l2,3,0.060482626270420004,0.002571177088550753,0.0878822514153631,41188.604259041116,3163.3333333333335,0.0425110026977818
F4_xgb_80_d4_lr006,fold_safe,forecast,F4,xgboost,xgb_80_d4_lr006,3,0.06150316873156026,0.0034204996530018362,0.08892738816969824,32411.947629282615,3163.3333333333335,0.055615015023552955
F3_rf_90_d12_l2,fold_safe,forecast,F3,random_forest,rf_90_d12_l2,3,0.065357921422058,0.004046826028885348,0.09112481723911557,26536.008726695974,11659.666666666666,0.06191791202710377
F3_xgb_80_d4_lr006,fold_safe,forecast,F3,xgboost,xgb_80_d4_lr006,3,0.06623928388805929,0.0024085388443347293,0.09123775990315118,23088.48576595132,11659.666666666666,0.03636118482810029
F2_rf_90_d12_l2,fold_safe,forecast,F2,random_forest,rf_90_d12_l2,3,0.06784341173722166,0.0035252370645903214,0.09769629613233251,22927.771449106946,14767.333333333334,0.05196137656290998
F4_ridge_a1_0,fold_safe,forecast,F4,ridge,ridge_a1_0,3,0.07062360121255906,0.009591587948006072,0.09762325793239317,35126.17097468394,3163.3333333333335,0.13581278472529082
F3_ridge_a1_0,fold_safe,forecast,F3,ridge,ridge_a1_0,3,0.07272947991689903,0.0005222941696762114,0.0985881809879688,26495.22668114983,11659.666666666666,0.0071813268879825165
F2_xgb_80_d4_lr006,fold_safe,forecast,F2,xgboost,xgb_80_d4_lr006,3,0.07413342888974538,0.0016008427887844877,0.10501369090311807,19084.209115257112,14767.333333333334,0.021594074532358867
F0_persistence_baseline,fold_safe,forecast,F0,baseline,persistence_baseline,3,0.08843064708016524,0.00216184210839682,0.1331598458286938,9834.327562484734,14767.333333333334,0.02444675211340521
F2_ridge_a1_0,fold_safe,forecast,F2,ridge,ridge_a1_0,3,0.09768014007000299,0.007544670972976599,0.13137671625495392,29167.383250138824,14767.333333333334,0.07723853556689897
F1_xgb_80_d4_lr006,fold_safe,forecast,F1,xgboost,xgb_80_d4_lr006,3,0.21787480864036954,0.045083389922944764,0.25968960395491697,158174.57113111642,14767.333333333334,0.20692337128961388
R1_F1_xgb_80_d4_lr006,fold_safe,forecast,F1,xgboost,xgb_80_d4_lr006,3,0.21787480864036957,0.04508338992294473,0.25968960395491697,158174.57113111642,14767.333333333334,0.20692337128961372
F1_ridge_a1_0,fold_safe,forecast,F1,ridge,ridge_a1_0,3,0.2334212241958441,0.012464523964146067,0.27988670614709843,166658.02190107972,14767.333333333334,0.05339927423946733
F1_rf_90_d12_l2,fold_safe,forecast,F1,random_forest,rf_90_d12_l2,3,0.24022576640002527,0.10740687314759814,0.2906405755997352,137004.3144566302,14767.333333333334,0.44710804655627
R1_F1_rf_90_d12_l2,fold_safe,forecast,F1,random_forest,rf_90_d12_l2,3,0.24022576640002527,0.10740687314759811,0.2906405755997352,137004.3144566302,14767.333333333334,0.4471080465562699
P0_profile_baseline,fixed_export,policy,P0,baseline,profile_baseline,3,0.20721314144714795,0.030178573730356813,0.2622364527316023,252497.86440359103,14767.333333333334,0.14564025003237643
