event_type,event_label,tier,n_event,n_non_event,mean_event,mean_non_event,delta_mean,median_event,median_non_event,mw_stat,mw_p,r_rb,effect_label,significant
is_event_day,Alle events,centrum,5014,45730,0.4356,0.4043,0.0313,0.3849,0.3392,121105374.5,0.0,0.0564,verwaarloosbaar,True
is_event_day,Alle events,vesten_of_rand,4739,34902,0.3193,0.2941,0.0251,0.2588,0.2404,87922906.5,0.0,0.0632,verwaarloosbaar,True
is_football_day,Voetbal,centrum,451,50293,0.3312,0.4081,-0.0769,0.2286,0.3429,9450843.5,1.0,-0.1667,klein,False
is_football_day,Voetbal,vesten_of_rand,320,39321,0.377,0.2965,0.0805,0.3425,0.2404,7596222.5,0.0,0.2074,klein,True
is_festival_day,Festival,centrum,76,50668,0.2302,0.4077,-0.1775,0.15,0.3429,1180937.0,1.0,-0.3866,medium,False
is_festival_day,Festival,vesten_of_rand,190,39451,0.2612,0.2973,-0.0362,0.2103,0.2429,3458721.0,0.966928,-0.0771,verwaarloosbaar,False
is_kermis_day,Kermis,centrum,4069,46675,0.4594,0.4029,0.0565,0.4296,0.3333,105206735.0,0.0,0.1079,klein,True
is_kermis_day,Kermis,vesten_of_rand,4027,35614,0.3182,0.2948,0.0234,0.2588,0.2404,75830542.0,0.0,0.0575,verwaarloosbaar,True
is_carnival_day,Carnaval,centrum,418,50326,0.3543,0.4079,-0.0536,0.2822,0.3429,9366626.0,0.999943,-0.1095,klein,False
is_carnival_day,Carnaval,vesten_of_rand,225,39416,0.3269,0.297,0.0299,0.2353,0.2428,4810940.5,0.013883,0.0849,verwaarloosbaar,True
