parking_id,tier,capacity,n_obs,mean,median,std,cv_pct,p10,p25,p75,p90,iqr,skewness,kurtosis,frac_below_20,frac_above_80,frac_full
P Grote Markt,centrum,155,19044,0.4618,0.4074,0.313,67.79,0.0815,0.1778,0.7704,0.9111,0.5926,0.258,-1.3765,0.2829,0.2172,0.0563
P Hoogstraat,centrum,109,12954,0.2049,0.1583,0.1789,87.31,0.0417,0.0917,0.25,0.42,0.1583,1.9799,4.6095,0.6113,0.0199,0.0073
P Kathedraal,centrum,130,12232,0.4525,0.3857,0.341,75.37,0.0571,0.1286,0.7857,0.9571,0.6571,0.2674,-1.4464,0.3507,0.2339,0.1044
P Lamot,centrum,255,14013,0.4497,0.4213,0.2156,47.95,0.1982,0.2851,0.5915,0.7664,0.3064,0.425,-0.4424,0.1003,0.0796,0.0118
P Veemarkt,centrum,129,14850,0.4563,0.4242,0.2611,57.23,0.0989,0.2626,0.6768,0.8182,0.4141,0.1869,-0.9571,0.1771,0.117,0.0259
P Bruul,vesten_of_rand,350,12709,0.1877,0.0936,0.2292,122.08,0.0117,0.0468,0.2339,0.4914,0.1871,1.9249,3.1407,0.7129,0.0485,0.0164
P Komet,vesten_of_rand,124,3126,0.2009,0.1833,0.1595,79.38,0.0,0.0833,0.3,0.4,0.2167,0.8795,1.2996,0.5128,0.0035,0.0003
P Maarten,vesten_of_rand,189,5944,0.064,0.037,0.0764,119.35,0.0,0.0083,0.0899,0.1833,0.0816,1.6032,2.1509,0.9144,0.0,0.0
P Tinel,vesten_of_rand,124,18155,0.444,0.4235,0.2744,61.81,0.0706,0.2235,0.6588,0.8471,0.4353,0.2292,-0.9483,0.2261,0.1294,0.0365
P Keerdok,vesten_of_rand,516,16810,0.3235,0.2957,0.1489,46.03,0.1538,0.2067,0.4207,0.5337,0.2139,0.6986,0.095,0.2265,0.003,0.0005
