tier,feature,importance,std,rank,positive,method
centrum,year_dummy,0.100973,0.001188,1,True,permutation_rf
centrum,hour_cos,0.065302,0.000584,2,True,permutation_rf
centrum,total_capacity,0.056092,0.000843,3,True,permutation_rf
centrum,hour_sin,0.037252,0.000488,4,True,permutation_rf
centrum,weekday_cos,0.011575,0.000173,5,True,permutation_rf
centrum,weekday_sin,0.007203,0.000138,6,True,permutation_rf
centrum,month_cos,0.00618,0.000168,7,True,permutation_rf
centrum,month_sin,0.005259,0.000137,8,True,permutation_rf
centrum,temp_c,0.002232,4.7e-05,9,True,permutation_rf
centrum,wind_speed_ms,0.001105,2.7e-05,10,True,permutation_rf
centrum,is_school_vacation,0.000965,4.9e-05,11,True,permutation_rf
centrum,sun_duration_min,0.000789,2.1e-05,12,True,permutation_rf
centrum,is_event_day,0.000393,2.7e-05,13,True,permutation_rf
centrum,is_national_holiday,0.000263,1.8e-05,14,True,permutation_rf
centrum,precip_mm,0.00016,9e-06,15,True,permutation_rf
vesten_of_rand,total_capacity,0.061622,0.000443,1,True,permutation_rf
vesten_of_rand,year_dummy,0.047688,0.0005,2,True,permutation_rf
vesten_of_rand,hour_cos,0.023395,0.000386,3,True,permutation_rf
vesten_of_rand,hour_sin,0.010685,0.000157,4,True,permutation_rf
vesten_of_rand,month_cos,0.008868,0.000196,5,True,permutation_rf
vesten_of_rand,month_sin,0.008482,0.000154,6,True,permutation_rf
vesten_of_rand,weekday_sin,0.004548,0.000101,7,True,permutation_rf
vesten_of_rand,temp_c,0.003812,6.3e-05,8,True,permutation_rf
vesten_of_rand,weekday_cos,0.003117,0.000126,9,True,permutation_rf
vesten_of_rand,is_school_vacation,0.0026,9.5e-05,10,True,permutation_rf
vesten_of_rand,wind_speed_ms,0.001485,3.1e-05,11,True,permutation_rf
vesten_of_rand,is_event_day,0.000827,2.9e-05,12,True,permutation_rf
vesten_of_rand,sun_duration_min,0.000728,1.8e-05,13,True,permutation_rf
vesten_of_rand,precip_mm,0.000116,4e-06,14,True,permutation_rf
vesten_of_rand,is_national_holiday,5.2e-05,5e-06,15,True,permutation_rf
